route_scope,chain_link,entity_1,relationship,entity_2,source,identifier,study_context,evidence_design,key_result,directness_to_ET,causal_interpretation,limitations,use_in_decision,source_url
STRICT_PRIMARY,taxon_to_ET,Faecalibacterium (genus),genetically predicted abundance associated with lower ET odds,Essential tremor,Stage 2 two-sample MR,genus.Faecalibacterium.id.2057,MiBioGen exposure; deCODE ET outcome,IVW MR with sensitivity analyses,OR=0.810; 95% CI 0.688-0.953; P=0.01131; BH q=0.866,"direct disease association, nominal only",suggestive MR signal; not FDR-significant,P<0.05 selection; q>=0.05; broad instrument threshold; exposure scale is not absolute abundance,retain as nominal entry candidate per user-specified gate,
STRICT_PRIMARY,taxon_ET_cross_validation,Faecalibacterium (genus),decreased in ET and correlated with fecal SCFAs,Essential tremor,"Huang et al., npj Parkinson's Disease, 2023",PMID:37460569; DOI:10.1038/s41531-023-00554-5,"37 ET, 37 de novo PD, 35 healthy controls",human cross-sectional microbiome plus fecal SCFA study,lower Faecalibacterium in ET; positive association with butyrate after FDR adjustment,"direct human ET evidence for taxon, not candidate metabolite",observational association only,"small cohort; cross-sectional; supports a butyrate relationship, not CID 49831816",supports taxon plausibility but cannot validate the nominated metabolite,https://pubmed.ncbi.nlm.nih.gov/37460569/
STRICT_PRIMARY,taxon_to_metabolite,Faecalibacterium (genus),positive Spearman correlation in Figure 5A,"5-(3,4-Dihydroxyphenyl)pentanoic acid (M6)","Li et al., Food Chemistry, 2023",PMID:36565551; DOI:10.1016/j.foodchem.2022.135203,M-SHIME microbiota from two selected human donors,quantitative microbiome-metabolite correlation,Faecalibacterium-M6 heatmap association marked significant (P<0.05),not an ET study,correlation; does not establish direct production,two donors; community fermentation; M6 was tentatively annotated; no isolate or enzyme attribution,only strict same-rank gutMGene edge; retain but downgrade mechanistic language,https://doi.org/10.1016/j.foodchem.2022.135203
STRICT_PRIMARY,metabolite_human_exposure,(+)-catechin-derived gut microbial metabolism,phase-II metabolite detected in plasma,M6-related circulating conjugate,"Li et al., Food Chemistry, 2023",PMID:36565551,"human pilot component, two preselected converter donors",targeted plasma metabolite detection,phase-II metabolites of M6 were detected in both donors,not an ET study; no brain measurement,supports possible systemic exposure only,n=2; conjugate rather than parent compound; no quantified brain or CSF exposure,insufficient for a cerebellar mechanism claim,https://doi.org/10.1016/j.foodchem.2022.135203
STRICT_PRIMARY,metabolite_identity,CID 49831816,standardized identity,"5-(3,4-Dihydroxyphenyl)pentanoic acid",PubChem PUG REST; gutMGene cross-identifiers,CID:49831816; CHEBI:137503; HMDB0029233,chemical database record,database identity mapping,C11H14O4; MW 210.23; XLogP 1.7; TPSA 77.8; exact SMILES locked,none,identity only,predicted descriptors do not prove BBB permeability or bioactivity,use this exact structure for target prediction,https://pubchem.ncbi.nlm.nih.gov/compound/49831816
STRICT_PRIMARY,direct_ET_or_neuro_search,CID 49831816 exact-name variants,PubMed Title/Abstract search,ET or neurologic/brain evidence,PubMed E-utilities search executed 2026-08-22,stage3_literature_search_log.csv,"exact term variants with ET, tremor, brain, neurologic, cerebellar, or BBB terms",reproducible bibliographic search,0 records for exact-compound-plus-ET and 0 for exact-compound-plus-neuro queries,no direct indexed Title/Abstract evidence found,absence of retrieved records is not proof of biological absence,does not search paywalled full text or non-indexed literature; nomenclature variants remain possible,"do not claim direct ET, cerebellar, or BBB evidence for the exact compound",https://pubmed.ncbi.nlm.nih.gov/
ANALOG_ONLY,brain_exposure_analog,"5-(3',4'-dihydroxyphenyl)-gamma-valerolactone",sulfated metabolite detected in brain,rat and pig brain tissue,"Angelino et al., Nutrients, 2019",PMID:31694297; PMCID:PMC6893823,"in silico, endothelial-cell, rat, and pig models",multi-model BBB study,a hydroxyphenyl-gamma-valerolactone sulfate was detected in brain tissue,not ET and not the exact open-chain compound,analog evidence only,different ring form/conjugate; exact isomer uncertain; most values near detection limits,"may motivate testing, but must not be used as BBB proof for CID 49831816",https://pmc.ncbi.nlm.nih.gov/articles/PMC6893823/
ANALOG_ONLY,neuroinflammation_analog,"5-(3',4'-dihydroxyphenyl)-gamma-valerolactone",with curcumin reduced LPS responses,primary rat cortical microglia,"Marcolin et al., Nutrients, 2025",PMID:40284180; PMCID:PMC12030566,cell culture combination treatment,in vitro mechanistic study,combination affected NLRP3 and NOX2/Nrf2-related readouts,not ET; different molecule; combination effect,cannot be transferred to CID 49831816,"closed-ring analog, cortical rather than cerebellar cells, curcumin combination",exclude from direct target evidence; cite only as analog context,https://pubmed.ncbi.nlm.nih.gov/40284180/
STRICT_PRIMARY,metabolite_to_target,CID 49831816 exact SMILES,ligand-similarity prediction,100 human protein target rows,SwissTargetPrediction,job:1517142978,Homo sapiens; exact PubChem structure,in silico target prediction,"top targets CA9, CA2, CA1, CA12, IAPP, SNCA, ALOX5; all 100 retained",computational only,hypothesis generation; no binding or functional validation,similarity-based predictions; rankings may favor well-liganded target classes,"retain raw list, but do not use alone for formal PPI/enrichment",https://www.swisstargetprediction.ch/result.php?job=1517142978&organism=Homo_sapiens
STRICT_PRIMARY,target_consensus,CID 49831816 exact SMILES,SEA prediction attempt,human protein targets,SEA Search Server,RRID:SCR_023754,"official development, production, and legacy endpoints",external web service,no result retrieved because endpoints returned EOF or SSL transport failures,not available,no Swiss-SEA consensus can be calculated,"external service failure, not a negative biological result",hold formal common-target/PPI step until SEA is rerun,https://seadev.docking.org/
